time;model_id;model_name;port_name;data
20;29;auctioneer;;{4,5,0,0,1,95,{1,20,0},{2,30,0},{3,40,1},{4,50,1},{1,40,1}{2,25,1}{3,30,1}{4,40,1}{5,50,1}}
20;3;ask-2;;{0,5,30,0,0}
20;4;filter_s-2;;{0,0}
20;6;ask-1;;{0,5,20,0,0}
20;7;filter_s-1;;{0,0}
20;9;bid-5;;{0,5,50,0,0}
20;10;filter_b-5;;{0,1}
20;12;bid-4;;{0,5,40,0,20}
20;13;filter_b-4;;{0,1}
20;15;bid-3;;{0,5,30,0,20}
20;16;filter_b-3;;{0,1}
20;18;bid-2;;{0,5,25,0,15}
20;19;filter_b-2;;{0,1}
20;21;bid-1;;{0,5,40,0,0}
20;22;filter_b-1;;{0,1}
20;24;ask-4;;{0,5,50,0,0}
20;25;filter_s-4;;{0,1}
20;27;ask-3;;{0,5,40,0,0}
20;28;filter_s-3;;{0,1}
20;29;auctioneer;;{4,5,0,0,1,95,{1,20,0},{2,30,0},{3,40,1},{4,50,1},{1,40,1}{2,25,1}{3,30,1}{4,40,1}{5,50,1}}
20;30;analysis;;{5,0,0,0,0}
